GeneID,083T,128T,135T,147T,157T,168T
Actr1a,24,24,30,22,0,24
Actr1b,8,0,8,8,6,7
Actr2,10,14,9,6,14,8
Actr3,10,14,6,14,12,6
Actr3b,13,0,12,0,12,0
Actr5,0,16,0,6,0,0
Actr6,22,18,20,28,12,16
Actr8,13,22,6,11,18,12
Actrt1,5,0,0,0,0,0
Actrt2,0,0,7,6,0,6
Actrt3,0,0,8,7,6,0
Acvr1,0,8,0,6,0,0
Acvr1b,5,0,6,0,6,0
Acvr1c,8,13,5,8,11,6
Acvr2a,11,0,6,13,8,5
Acvr2b,7,0,9,6,9,8
Acvrl1,12,6,6,6,6,6
Acy1,47,30,23,29,24,24
Acy3,12,32,12,0,22,12
Acyp1,416,336,432,160,272,208
Acyp2,6,10,9,0,13,6
Ada,7,7,6,7,6,9
Adad1,6,9,7,5,9,0
Adad2,6,6,13,8,11,6
Adal,40,100,88,36,40,28
Adam10,8,9,9,13,6,12
Adam11,8,8,9,11,8,6
Adam12,9,18,6,8,0,0
Adam15,11,10,11,12,26,20
Adam17,130,76,82,60,104,84
Adam18,9,14,8,11,11,0
Adam19,888,432,624,688,336,408
Adam1a,13,11,7,6,6,7
Adam1b,8,11,6,6,7,9
Adam2,12,22,15,15,15,9
Adam20,18,7,7,14,7,7
Adam21,6,7,6,0,0,0
Adam22,1872,1008,984,1200,720,1104
Adam23,21,14,16,19,16,7
Adam24,8,11,19,11,6,7
Adam25,5,10,11,12,6,6
Adam26a,29,10,16,12,8,13
Adam26b,42,32,13,16,17,12
Adam28,22,13,11,11,10,16
Adam29,6,0,8,8,9,6
Adam3,148,124,56,56,140,144
Adam30,9,6,0,6,6,7
Adam32,36,36,28,30,24,28
Adam33,14,0,14,14,33,16
Adam34,38,11,10,10,8,9
Adam34l,28,23,19,13,11,10
Adam39,9,18,10,9,8,5
Adam4,9,11,13,9,9,6
Adam5,472,216,120,312,348,264
Adam6a,10,10,0,11,0,6
Adam6b,10,10,6,7,8,7
Adam7,25,8,12,8,5,7
Adam8,22,20,24,11,25,18
Adam9,29,33,15,22,12,11
Adamdec1,10,9,6,11,10,6
Adamts1,7,0,12,9,10,0
Adamts10,60,108,114,36,42,48
Adamts12,15,24,7,8,14,9
